date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:10	41177/41177	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2009:41:10%20GMT	http://wp1.themexlab.com/wp/cards/	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/index.html	(from )
12:41:12	556/556	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202016%2009:41:09%20GMT	http://wp1.themexlab.com/robots.txt		(from )
12:41:12	1175/1175	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Oct%202016%2009:41:12%20GMT	http://wp1.themexlab.com/wp/cards/wp-content/themes/cardsimg/favicon.ico	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cardsimg/favicon.ico	(from http://wp1.themexlab.com/wp/cards/)
12:41:13	1099/1099	---MCZ	200	added ('OK')	text/css	etag:W/%22568ce044-44b%22	http://wp1.themexlab.com/wp/cards/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.3.1	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/plugins/contact-form-7/includes/css/styles5b31.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:16	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%225688169e-18679%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/bootstrap/css/bootstrap.min.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/bootstrap/css/bootstrap.min8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:16	759/759	---MC-	200	added ('OK')	application/rss+xml	etag:%22acbe69a02fb538aa3fa00ecca2ce4d61%22	http://wp1.themexlab.com/wp/cards/?feed=rss2&page_id=6	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/index8d4b.html	(from http://wp1.themexlab.com/wp/cards/)
12:41:17	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%22568816c5-6857%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/font-awesome/css/font-awesome.min.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/font-awesome/css/font-awesome.min8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:17	5705/5705	---MCZ	200	added ('OK')	text/css	etag:W/%2256881661-1649%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/nivo-lightbox/nivo-lightbox.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/nivo-lightbox/nivo-lightbox8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:17	2829/2829	---MCZ	200	added ('OK')	text/css	etag:W/%2256881741-b0d%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/nivo-lightbox/themes/default/default.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/nivo-lightbox/themes/default/default8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:18	2720/2720	---MC-	200	added ('OK')	application/rss+xml	etag:%22acbe69a02fb538aa3fa00ecca2ce4d61%22	http://wp1.themexlab.com/wp/cards/?feed=comments-rss2	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/indexa6da.html	(from http://wp1.themexlab.com/wp/cards/)
12:41:18	3104/3104	---MCZ	200	added ('OK')	text/css	etag:W/%2256881724-c20%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/perfect-scrollbar/css/perfect-scrollbar.min.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/perfect-scrollbar/css/perfect-scrollbar.min8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:18	1476/1476	---MCZ	200	added ('OK')	text/css	etag:W/%2256881718-5c4%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/owl.carousel/owl-carousel/owl.carousel.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/owl.carousel/owl-carousel/owl.carousel8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:18	1665/1665	---MCZ	200	added ('OK')	text/css	etag:W/%225688171c-681%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/owl.carousel/owl-carousel/owl.theme.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/vendor/owl.carousel/owl-carousel/owl.theme8a54.css	(from http://wp1.themexlab.com/wp/cards/)
12:41:19	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2256a25a5b-7918%22	http://wp1.themexlab.com/wp/cards/wp-content/themes/cards/style.css?ver=1.0.0	C:/My%20Web%20Sites/portfolio%202%20simple/wp1.themexlab.com/wp/cards/wp-content/themes/cards/style8a54.css	(from http://wp1.themexlab.com/wp/cards/)
